old_name,old_file,name_stub,validation_wrapper_called,proposed_new_category,keep_drop_merge,notes
mirGetSingleTradeResult,LAXL.cpp,,,,,
mirGetIRDeltaGrid,LAXL.cpp,,,,,
mirOutputCalcTradesResult,LAXL.cpp,,,,,
mirOutputSingleTradeResult,LAXL.cpp,,,,,
mirxlDumpMemoryForEachEntity,LAXL.cpp,,,,,
mirStorePastRates,LAXL.cpp,,,,,
mirEntityDump,LAXL.cpp,,,,,
mirGetParRateIMM1,LAXL.cpp,,,,,
mirGetParRateIMM2,LAXL.cpp,,,,,
mirGetParRateIMM3,LAXL.cpp,,,,,
mirCompound1,LAXL.cpp,,,,,
mirCompound2,LAXL.cpp,,,,,
mirCompound3,LAXL.cpp,,,,,
mirGetSRAdjustSABR,LAXL.cpp,,,,,
NewFn1,LAXL.cpp,,,,,
mirSetUpFwdFXConstantCurve,LAXL.cpp,,tryMirSetUpFwdFXConstantCurve,,,
mirSwapStubRate,LAXL.cpp,,,,,
mirGetParRate4,LAXL.cpp,,,,,
mirGetParRate5,LAXL.cpp,,,,,
mirOISParRate,LAXL.cpp,,,,,
mirSwapSchedule,LAXL.cpp,,,,,
mirSwapPV,LAXL.cpp,,,,,
mirOISSwapPV,LAXL.cpp,,,,,
mirSwapPV01,LAXL.cpp,,,,,
mirAssetSwapSpread,LAXL.cpp,,,,,
mirSetupPCA,LAXL.cpp,,,,,
mirGetPCAResults,LAXL.cpp,,,,,
mirGetNextECBDate,LAXL.cpp,,,,,
mirGetECBStartDate,LAXL.cpp,,,,,
mirHaveNextECBDate,LAXL.cpp,,,,,
mirHaveNextCBDate,LAXL.cpp,,,,,
mirGetNextCBDate,LAXL.cpp,,,,,
mirSetUpCBScheduleFile,LAXL.cpp,,,,,
mirRecord,LAXL.cpp,,,,,
mirGetCholeskyDecomposition,LAXL.cpp,,,,,
mirGetEigenMatrix,LAXL.cpp,,,,,
MirReplay,LAXL.cpp,,tryMirReplay,,,
mirSwapDV01,LAXL.cpp,,,,,
mirSwapDeltaLadder,LAXL.cpp,,tryMeProductSwapDelta,,,
meSRTAmortizeSingleLoan,meCashflowClient.cpp,SRT,tryMeSRTAmortizeSingleLoanAsMatrix,,,
meSRTAmortizeLoanPortfolio,meCashflowClient.cpp,SRT,tryMeSRTAmortizeLoanPortfolioAsMatrix,,,
meCurveDiscountFactorsFromYearFractions,meCurves.cpp,Curve,tryMeCurveDiscountFactorsFromYearFractions,,,
meCurveDiscountFactorsFromTenors,meCurves.cpp,Curve,tryMeCurveDiscountFactorsFromTenors,,,
meCurveDiscountFactorsForwardStarting,meCurves.cpp,Curve,tryMeCurveDiscountFactorsForwardStarting,,,
meCurveDiscountFactorsForwardStartingFromYearFractions,meCurves.cpp,Curve,tryMeCurveDiscountFactorsForwardStartingFromYearFractions,,,
meCurveDiscountFactorsForwardStartingFromTenor,meCurves.cpp,Curve,tryMeCurveDiscountFactorsForwardStartingFromTenor,,,
meCurveForwardRatesFromForwardDates,meCurves.cpp,Curve,tryMeCurveForwardRatesFromForwardDates,,,
meCurveForwardRatesFromYearFraction,meCurves.cpp,Curve,tryMeCurveForwardRatesFromYearFraction,,,
meCurveCompoundRate,meCurves.cpp,Curve,,,,
meCurveDisplay,meCurves.cpp,Curve,tryMeCurveDisplay,,,
meCurveCalibrateOIS,meCurves.cpp,Curve,,,,
meCurveCalibrateSwap,meCurves.cpp,Curve,,,,
meCurveCalibrateBasis,meCurves.cpp,Curve,,,,
meCurveCalibrateFXForwards,meCurves.cpp,Curve,tryMeCurveCalibrateFXForwards,,,
meCurveZeroRateFromYearFraction,meCurves.cpp,Curve,tryMeCurveZeroRatesFromYearFractions,,,
meCurveZeroRateFromTenor,meCurves.cpp,Curve,tryMeCurveZeroRatesFromTenors,,,
meCurveFrequency,meCurves.cpp,Curve,tryMeCurveFrequency,,,
meCurveDiscountFactors,meCurves.cpp,Curve,tryMeCurveDiscountFactors,,,
meCurveForwardRates,meCurves.cpp,Curve,tryMeCurveForwardRates,,,
meCurveDelete,meCurves.cpp,Curve,tryMeCurveDelete,,,
meCurveEuroDollarConvexityAdjustment,meCurves.cpp,Curve,tryMeCurveEuroDollarConvexityAdjustment,,,
meCurveCompoundRateWithFixingTable,meCurves.cpp,Curve,,,,
meCurveCalibrateCTD,meCurves.cpp,Curve,tryMeCurveCalibrateCTD,,,
meCurveVasicekChecking,meCurves.cpp,Curve,,,,
meCurveVasicekForwardRates,meCurves.cpp,Curve,,,,
meCurveHullWhiteForwardRates,meCurves.cpp,Curve,tryMeCurveHullWhiteForwardRates,,,
meCurveInterpolationJoinDate,meCurves.cpp,Curve,tryMeCurveInterpolationJoinDate,,,
meCurveCalibrateDualBootstrap,meCurves.cpp,Curve,,,,
meBondCurveNelsonSiegelCalibrate,meCurves.cpp,Bond,,,,
meBondCurveNelsonSiegelYield,meCurves.cpp,Bond,tryMeBondCurveNelsonSiegelYield,,,
meBondCurveSvenssonCalibrate,meCurves.cpp,Bond,,,,
meBondCurveSvenssonYield,meCurves.cpp,Bond,tryMeBondCurveSvenssonYield,,,
meCurveDiscountFactorsOverride,meCurves.cpp,Curve,,,,
meCurveDiscountFactorsDisplay,meCurves.cpp,Curve,tryMeCurveDiscountFactorsDisplay,,,
meCurveDiscountFactorsSetToOne,meCurves.cpp,Curve,tryMeCurveDiscountFactorsSetToOne,,,
meCurveTermsToDates,meCurves.cpp,Curve,tryMeCurveTermsToDates,,,
meCurveDatesToTerms,meCurves.cpp,Curve,tryMeCurveDatesToTerms,,,
meCurveForwardRatesOverride,meCurves.cpp,Curve,,,,
meBondCurvePolynomialCalibrate,meCurves.cpp,Bond,,,,
meBondCurvePolynomialYield,meCurves.cpp,Bond,tryMeBondCurvePolynomialYield,,,
meBondCurveDisplay,meCurves.cpp,Bond,tryMeBondCurveDisplay,,,
meBondCurveCreate,meCurves.cpp,Bond,tryMeBondCurveCreate,,,
meLWOBondPriceFromBondCurve,meCurves.cpp,LWO,tryMeLWOBondPriceFromBondCurve,,,
meLWOBondYieldFromBondCurve,meCurves.cpp,LWO,tryMeLWOBondYieldFromBondCurve,,,
meCurveResultsDiscountFactorsUpdate,meCurves.cpp,Curve,tryMeCurveResultsDiscountFactorsUpdate,,,
meCurveResultsDiscountFactorsDisplayAll,meCurves.cpp,Curve,tryMeCurveResultsDiscountFactorsDisplayAll,,,
meCurveResultsDiscountFactorsDisplay,meCurves.cpp,Curve,tryMeCurveResultsDiscountFactorsDisplay,,,
meCurveResultsDelete,meCurves.cpp,Curve,tryMeCurveResultsDelete,,,
meCurveResultsDeleteAll,meCurves.cpp,Curve,tryMeCurveResultsDeleteAll,,,
meCurveResultsForwardRatesDisplay,meCurves.cpp,Curve,,,,
meCurveResultsJacobianUpdate,meCurves.cpp,Curve,,,,
meCurveResultsJacobianDisplay,meCurves.cpp,Curve,tryMeCurveResultsJacobianDisplay,,,
meCurveResultsJacobianRiskTotals,meCurves.cpp,Curve,tryMeCurveResultsJacobianRiskTotals,,,
meCurveResultsJacobianImplyNewDiscountFactors,meCurves.cpp,Curve,tryMeCurveResultsJacobianImplyNewDiscountFactors,,,
meCurveResultsEnable,meCurves.cpp,Curve,tryMeCurveResultsEnable,,,
meCurveResultsIsEnabled,meCurves.cpp,Curve,tryMeCurveResultsIsEnabled,,,
meCurveResultsJacobianDiscountFactorDelta,meCurves.cpp,Curve,tryMeCurveResultsJacobianDiscountFactorDelta,,,
meCurveGroupCreate,meCurves.cpp,Curve,tryMeCurveGroupCreate,,,
meCurveGroupCollectionName,meCurves.cpp,Curve,tryMeCurveGroupCollectionName,,,
meCurveGroupDelete,meCurves.cpp,Curve,tryMeCurveResultsDelete,,,
meCurveGroupDeleteAll,meCurves.cpp,Curve,tryMeCurveResultsDeleteAll,,,
meCurveDiscountFactorsFromObject,meCurves.cpp,Curve,tryMeCurveDiscountFactors,,,
meCurveForwardRatesFromObject,meCurves.cpp,Curve,tryMeCurveForwardRates,,,
meCurveForwardRatesFromForwardDatesFromObject,meCurves.cpp,Curve,tryMeCurveForwardRatesFromForwardDatesFromObject,,,
meDateBusinessDays,meDates.cpp,Date,tryMeDateBusinessDays,,,
meDateFromTenor,meDates.cpp,Date,tryMeDateFromTenor,,,
meDateFromYearFraction,meDates.cpp,Date,tryMeDateFromYearFraction,,,
meDateECBSwapStart,meDates.cpp,DateECB,tryMeDateECBSwapStart,,,
meDateECBSwapEnd,meDates.cpp,DateECB,tryMeDateECBSwapEnd,,,
meDateECB,meDates.cpp,DateECB,tryMeDateECB,,,
meDateCentralBank,meDates.cpp,Date,tryMeDateCentralBank,,,
meDateIMMFromMonth,meDates.cpp,DateIMM,tryMeDateIMMFromMonth,,,
meDateNthIMM,meDates.cpp,Date,tryMeDateNthIMM,,,
meDateNthIMMFromStartDate,meDates.cpp,Date,tryMeDateNthIMMFromStartDate,,,
meDateYearFraction,meDates.cpp,Date,tryMeDateYearFraction,,,
meDateIsWorkingDay,meDates.cpp,Date,tryMeDateIsWorkingDay,,,
meDateIsHoliday,meDates.cpp,Date,tryMeDateIsHoliday,,,
meDateIsWeekend,meDates.cpp,Date,tryMeDateIsWeekend,,,
meDateIsWeekday,meDates.cpp,Date,tryMeDateIsWeekday,,,
meDateFuturesContract,meDates.cpp,Date,tryMeDateFuturesContract,,,
meDateIsRegularSwapSchedule,meDates.cpp,Date,,,,
