AmB,AuB,BeB,BkB,BMA,BmB,BxB,CoB,FrB,HeB,HKB,IsB,JaB,JoB,KLB,LnB,LxB,MeB,MoB,MwB,MxB,NBR,NYB,OsB,RiB,RJB,SeB,SiB,SPB,SyB,Tgt,TkB,TpB,TrB,StB,ViB,WeB,ZuB
19990101,20020101,20070101,20020101,20150101,20020312,20130101,19990101,20020101,20020101,19990101,20060110,20070101,20020101,20020101,19990101,19990101,19990101,19990101,20010101,20060206,20130101,19990101,20000420,20090102,20130101,20040101,20000207,20060125,20020101,20000421,19940103,20060130,20020101,19990101,20020101,20020101,20020101
19990402,20020102,20070102,20020226,20150103,20020325,20130211,19990401,20020329,20020329,19990216,20060111,20070319,20020321,20020201,19990402,19990405,19990126,19990402,20010102,20060321,20130211,19990118,20000421,20090109,20130211,20040121,20000316,20060227,20020128,20000424,19940211,20060131,20020329,19990106,20020401,20020102,20020102
19990405,20040101,20070103,20020408,20150104,20020329,20130212,19990402,20020401,20020401,19990217,20060112,20070406,20020329,20020212,19990405,19990513,19990402,19990524,20010307,20060413,20130212,19990215,20000424,20090116,20130212,20040122,20000421,20060228,20020329,20000501,19940321,20060201,20020520,19990402,20020501,20020121,20020329
19990430,20040102,20070219,20020415,20150110,20020401,20130329,19990405,20020501,20020501,19990218,20060113,20070517,20020401,20020213,19990503,19990524,19990405,19990701,20010501,20060414,20130329,19990402,20000501,20090123,20130329,20040123,20000501,20060414,20020401,20001225,19940429,20060202,20020701,19990405,20020509,20020206,20020401
19990513,20040126,20070220,20020416,20150111,20020425,20130501,19990430,20020509,20020509,19990402,20060519,20070601,20020501,20020315,19990531,19990623,19990426,19990802,20010502,20060501,20130501,19990531,20000517,20090130,20130423,20040301,20000518,20060421,20020425,20001226,19940503,20060228,20020805,19990513,20020520,20020329,20020501
19990524,20040206,20070221,20020501,20150117,20020501,20130530,19990513,20020520,20020621,19990405,20060830,20070817,20020617,20020425,19990830,19991101,19990614,19990906,20010509,20061102,20130530,19990705,20000601,20090206,20130501,20040405,20000809,20060501,20020610,20010101,19940504,20060405,20020902,19990524,20020530,20020401,20020509
20000421,20040409,20070222,20020506,20150118,20020815,20131115,19990524,20020530,20021206,19990406,20061023,20071012,20020809,20020501,19991227,20000424,19990802,19991011,20010612,20061120,20131115,19990906,20000612,20090213,20130530,20040415,20001026,20060615,20020805,20010413,19940505,20060501,20021014,19990625,20020815,20020425,20020520
20000424,20040412,20070223,20020527,20150119,20020910,20131225,19990603,20021003,20021224,19990618,20061024,20071220,20020924,20020527,19991228,20000501,19991004,19991111,20011107,20061201,20131225,19991011,20001225,20090220,20130725,20040505,20001127,20060907,20021007,20010416,19940915,20060531,20021111,19991224,20021101,20020603,20020801
20000505,20040607,20070501,20020701,20150124,20020930,20131231,19991224,20021224,20021225,19990701,20061025,20071225,20021216,20021104,19991231,20000601,19991227,19991227,20011212,20061212,20140101,19991111,20001226,20090227,20130726,20040526,20010101,20061012,20021225,20010501,19940923,20061006,20021225,20000106,20021224,20021028,20021225
20000601,20041025,20070502,20020725,20150125,20021002,20140101,20000420,20021225,20021226,19991001,20070101,20071231,20021225,20021206,20000103,20000612,19991228,19991228,20020101,20061225,20140303,19991125,20010101,20090306,20131115,20040927,20010124,20061102,20021226,20011225,19941010,20061009,20021226,20000421,20021225,20021225,20021226
20000612,20041227,20070503,20020812,20150131,20021015,20140303,20000421,20021226,20030101,19991018,20070102,20080101,20021226,20021225,20000421,20000623,20000103,20000103,20020102,20070101,20140304,19991224,20010412,20090313,20131120,20040928,20010125,20061115,20030101,20011226,19941103,20061010,20030101,20000424,20021226,20021226,20030101
20001225,20041228,20070504,20021023,20150201,20021104,20140304,20000424,20021231,20030106,19991227,20070103,20080110,20030101,20030101,20000424,20000815,20000106,20000421,20020107,20070205,20140418,20000117,20010413,20090320,20131225,20040929,20010306,20061120,20030127,20011231,19941123,20070101,20030418,20000501,20030101,20030101,20030102
20001226,20050103,20070507,20021205,20150207,20021119,20140418,20000501,20030101,20030418,19991231,20070423,20080207,20030321,20030203,20000501,20001101,20000126,20000522,20020225,20070319,20140421,20000221,20010416,20090327,20131231,20050208,20010413,20061225,20030418,20020101,19941223,20070219,20030519,20000601,20030106,20030102,20030418
20010101,20050104,20071001,20021210,20150208,20021225,20140421,20000519,20030418,20030421,20000204,20070830,20080307,20030418,20030204,20000529,20001225,20000421,20000703,20020308,20070405,20140501,20000421,20010501,20090403,20140101,20050209,20010501,20061229,20030421,20020329,19950102,20070220,20030701,20000612,20030421,20030120,20030421
20010413,20050131,20071002,20021230,20150214,20030213,20140501,20000601,20030421,20030501,20000207,20071012,20080320,20030421,20030212,20000828,20001226,20000424,20000807,20020501,20070406,20140619,20000529,20010517,20090410,20140120,20050210,20010507,20070101,20030425,20020401,19950103,20070221,20030804,20000623,20030501,20030206,20030501
20010416,20050325,20071003,20021231,20150215,20030314,20140619,20000605,20030501,20030529,20000404,20071029,20080321,20030428,20030304,20001225,20010101,20000425,20000904,20020502,20070501,20141225,20000704,20010524,20090417,20140303,20050301,20010809,20070125,20030609,20020501,19950116,20070222,20030901,20001225,20030529,20030418,20030529
20010430,20050328,20071004,20030101,20150216,20030318,20141225,20000612,20030529,20030620,20000421,20071220,20080501,20030501,20030501,20001226,20010413,20000501,20001009,20020503,20071102,20150101,20000904,20010604,20090424,20140304,20050405,20011114,20070219,20030804,20021225,19950321,20070223,20031013,20001226,20030609,20030421,20030609
20010524,20050425,20071005,20030217,20150221,20030401,20141231,20000622,20030609,20031224,20000424,20071221,20080520,20030616,20030514,20010101,20010416,20000601,20001225,20020509,20071119,20150216,20001009,20011225,20090501,20140418,20050505,20011225,20070220,20031006,20021226,19950503,20070228,20031111,20010101,20030619,20030425,20030801
20010604,20050606,20071231,20030407,20150222,20030402,20150101,20001003,20030619,20031225,20000501,20080101,20080730,20030924,20030515,20010413,20010501,20000612,20001226,20020510,20071212,20150217,20001123,20011226,20090508,20140421,20050606,20020101,20070406,20031225,20030101,19950504,20070405,20031225,20010413,20030815,20030602,20031225
20011225,20051024,20080101,20030414,20150228,20030411,20150216,20001225,20031003,20031226,20000511,20080423,20080818,20031216,20030901,20010416,20010524,20000622,20010101,20020612,20071225,20150403,20001225,20020101,20090515,20140423,20050815,20020212,20070501,20031226,20030418,19950505,20070406,20031226,20010416,20031208,20031027,20031226
20011226,20051226,20080206,20030415,20150301,20030414,20150217,20001226,20031224,20040101,20000606,20080519,20080930,20031225,20031024,20010507,20010604,20000807,20010413,20021107,20080101,20150421,20010101,20020328,20090522,20140501,20050919,20020213,20070607,20040101,20030421,19950915,20070501,20040101,20010501,20031224,20031225,20040101
20020101,20051227,20080207,20030501,20150307,20030415,20150403,20010101,20031225,20040106,20000913,20080930,20081001,20031226,20031125,20010528,20010815,20000815,20010521,20021108,20080204,20150501,20010115,20020329,20090529,20140619,20051003,20020329,20070709,20040126,20030501,19951010,20070618,20040409,20010524,20031225,20031226,20040102
20020329,20060102,20080208,20030505,20150308,20030418,20150421,20010412,20031226,20040409,20001002,20081001,20081002,20040101,20031126,20010827,20011101,20001002,20010702,20021212,20080317,20150604,20010219,20020401,20090605,20140625,20060130,20020501,20070907,20040409,20031225,19951103,20070619,20040524,20010604,20031226,20040101,20040409
20020401,20060103,20080211,20030515,20150314,20030501,20150501,20010413,20031231,20040412,20001006,20081002,20081003,20040322,20031225,20011225,20011225,20001026,20010806,20021213,20080320,20150907,20010413,20020501,20090612,20140704,20060301,20020527,20071012,20040412,20031226,19951123,20070918,20040701,20010622,20040101,20040102,20040412
20020430,20060130,20080212,20030701,20150315,20030515,20150604,20010416,20040101,20040520,20001225,20081029,20081208,20040409,20040101,20011226,20011226,20001101,20010903,20030101,20080321,20151012,20010528,20020509,20090619,20141120,20060501,20020809,20071102,20040426,20040101,19960101,20070924,20040802,20011225,20040106,20040119,20040520
20020509,20060206,20080404,20030714,20150321,20030516,20150907,20010501,20040409,20040625,20001226,20081208,20081225,20040412,20040122,20020101,20020101,20001208,20011008,20030102,20080501,20151102,20010704,20020517,20090626,20141225,20060505,20021104,20071115,20040614,20040409,19960102,20070925,20040906,20011226,20040412,20040206,20040531
20020520,20060414,20080501,20030812,20150322,20030630,20151012,20010511,20040412,20041206,20010101,20081209,20081229,20040414,20040123,20020329,20040101,20001225,20011225,20030103,20080916,20151225,20010903,20020520,20090703,20141231,20060531,20021206,20071120,20040802,20040412,19960103,20071010,20041011,20020101,20040520,20040409,20050325
20021225,20060417,20080502,20031023,20150328,20030815,20151102,20010524,20040520,20041224,20010124,20081210,20090101,20040427,20040202,20020401,20040409,20001226,20011226,20030106,20081117,20160101,20011112,20021224,20090710,20150101,20060606,20021225,20071225,20041004,20050325,19960115,20080101,20041111,20020329,20040531,20040412,20050328
20021226,20060425,20080609,20031205,20150329,20030930,20151130,20010604,20040531,20050106,20010125,20081211,20090102,20040616,20040203,20020506,20040412,20001229,20020101,20030107,20081212,20160208,20011122,20021225,20090717,20150120,20060717,20030101,20071231,20041227,20050328,19960212,20080206,20041227,20020401,20040610,20040607,20050505
20030101,20060605,20080915,20031210,20150404,20031002,20151225,20010605,20040610,20050325,20010126,20090101,20090126,20040809,20040223,20020603,20040520,20010101,20040101,20030224,20081225,20160209,20011225,20021226,20090724,20150216,20060815,20030203,20080101,20041228,20051226,19960320,20080207,20041228,20020501,20041026,20041025,20050516
20030418,20061023,20080929,20031231,20150405,20031126,20151231,20010614,20041224,20050328,20010405,20090423,20090309,20040924,20040503,20020604,20040531,20010126,20040102,20030310,20090101,20160325,20020101,20030101,20090731,20150217,20061003,20030212,20080125,20050103,20060414,19960429,20080208,20050103,20020509,20041101,20041227,20050801
20030421,20061225,20080930,20040101,20150411,20031225,20160101,20011224,20041231,20050505,20010413,20090501,20090326,20041216,20040505,20020826,20040623,20010413,20040409,20030501,20090202,20160421,20020121,20030417,20090807,20150403,20061005,20030418,20080204,20050126,20060417,19960503,20080211,20050325,20020520,20041208,20041228,20051226
20030430,20061226,20081001,20040308,20150412,20040126,20160208,20011225,20050325,20050624,20010416,20090519,20090409,20041227,20040831,20021225,20041101,20010416,20040524,20030502,20090316,20160526,20020218,20030418,20090814,20150421,20061006,20030501,20080205,20050325,20060501,19960506,20080228,20050523,20020621,20041224,20050103,20060102
20030529,20070101,20081002,20040406,20150418,20040202,20160209,20011226,20050328,20051206,20010430,20090921,20090410,20050321,20041112,20021226,20050325,20010425,20040624,20030509,20090409,20160907,20020527,20030421,20090821,20150423,20061225,20030515,20080321,20050328,20061225,19960916,20080404,20050701,20021224,20050106,20050104,20060414
20030609,20070102,20081003,20040413,20150419,20040218,20160325,20011231,20050505,20051226,20010501,20090922,20090521,20050325,20041115,20030101,20050328,20010611,20040701,20030612,20090410,20161012,20020704,20030501,20090828,20150501,20070101,20031024,20080421,20050425,20061226,19960923,20080501,20050801,20021225,20050328,20050124,20060417
20031225,20070129,20090101,20040414,20150425,20040302,20160421,20020101,20050516,20060106,20010625,20091029,20090708,20050328,20041116,20030418,20050505,20011001,20040906,20030613,20090501,20161102,20020902,20030529,20090904,20150604,20070219,20031125,20080501,20050613,20070101,19961010,20080728,20050905,20021226,20050505,20050325,20060501
20031226,20070206,20090102,20040415,20150426,20040330,20160526,20020328,20050526,20060414,20010702,20091127,20090720,20050427,20050121,20030421,20050516,20011225,20041011,20031107,20090916,20161115,20021014,20030609,20090911,20150907,20070301,20031225,20080522,20050801,20070406,19961104,20080929,20051010,20021231,20050516,20050328,20060525
20040101,20070406,20090126,20040503,20150502,20040401,20160907,20020329,20051003,20060417,20011001,20091130,20090817,20050502,20050201,20030505,20050623,20011226,20041111,20031212,20091102,20170227,20021111,20031224,20090917,20151012,20070501,20040101,20080709,20051003,20070409,19961223,20081010,20051111,20030101,20050526,20050425,20060605
20040409,20070409,20090127,20040505,20150503,20040409,20161012,20020401,20051226,20060501,20011002,20100101,20090921,20050616,20050209,20030526,20050815,20020101,20041227,20040101,20091116,20170228,20021128,20031225,20090918,20151102,20070524,20040122,20081120,20051226,20070501,19961231,20090101,20051226,20030106,20050815,20050606,20060801
20040412,20070425,20090128,20040603,20150509,20040414,20161102,20020426,20060414,20060525,20011025,20100423,20090922,20050809,20050210,20030825,20051101,20040101,20041228,20040102,20091225,20170414,20021225,20031226,20090921,20151120,20070606,20040123,20081225,20051227,20071225,19970101,20090102,20051227,20030418,20051026,20051024,20061225
20040430,20070604,20090129,20040701,20150510,20040426,20161115,20020509,20060417,20060623,20011225,20100519,20090923,20051216,20050211,20031225,20051226,20040126,20050103,20040107,20100101,20170421,20030101,20040101,20090922,20151225,20070717,20040202,20081231,20060102,20071226,19970102,20090126,20060102,20030421,20051101,20051226,20061226
20040520,20071022,20090130,20040802,20150516,20040504,20161130,20020520,20060501,20061206,20011226,20100830,20091127,20051226,20050421,20031226,20060414,20040308,20050104,20040223,20100201,20170501,20030120,20040408,20090923,20151231,20070815,20040409,20090101,20060126,20080101,19970103,20090127,20060414,20030501,20051208,20051227,20070101
20040531,20071225,20090406,20040812,20150517,20040630,20161230,20020605,20060525,20061225,20020101,20100909,20091218,20060102,20050502,20040101,20060417,20040409,20050325,20040308,20100315,20170615,20030217,20040409,20090924,20160101,20070924,20040602,20090223,20060414,20080321,19970115,20090128,20060522,20030529,20051226,20060102,20070102
20050325,20071226,20090501,20041025,20150523,20040820,20170227,20021224,20060605,20061226,20020212,20100910,20091225,20060301,20050523,20040409,20060501,20040412,20050523,20040503,20100401,20170907,20030526,20040412,20090925,20160120,20070925,20040809,20090224,20060417,20080324,19970211,20090129,20060703,20030609,20060106,20060103,20070406
20050328,20080101,20090528,20041206,20150524,20040930,20170228,20021225,20060615,20070101,20020213,20101029,20100101,20060321,20050831,20040412,20060525,20040614,20050624,20040504,20100402,20171012,20030704,20040517,20091002,20160208,20070926,20041111,20090410,20060425,20080501,19970320,20090130,20060807,20030620,20060417,20060123,20070409
20050505,20080102,20090529,20041210,20150525,20041013,20170414,20021226,20061003,20070406,20020214,20101116,20100226,20060414,20051101,20040503,20060605,20041102,20050701,20040510,20100916,20171102,20030901,20040520,20091009,20160209,20071003,20041115,20090421,20060612,20081225,19970429,20090501,20060904,20031224,20060501,20060206,20070501
20050516,20080128,20091001,20041231,20150530,20041022,20170421,20030101,20061225,20070409,20020329,20101117,20100316,20060417,20051103,20040531,20060623,20041227,20050905,20040614,20100917,20171115,20031013,20040531,20091016,20160325,20071219,20050121,20090501,20060807,20081226,19970505,20090528,20061009,20031225,20060525,20060414,20070517
20051226,20080206,20091002,20050103,20150531,20041112,20170501,20030417,20061226,20070501,20020401,20101118,20100402,20060427,20051104,20040830,20060815,20041228,20051010,20041108,20101102,20171225,20031111,20041224,20091023,20160421,20071225,20050209,20090611,20061002,20090101,19970721,20090529,20061113,20031226,20060605,20060417,20070528
20060414,20080321,20091005,20050223,20150606,20041115,20170615,20030418,20070101,20070517,20020405,20101119,20100513,20060501,20051226,20041227,20061101,20050103,20051111,20041213,20101115,20180101,20031127,20050324,20091030,20160526,20080101,20050210,20090709,20061225,20090410,19970915,20090807,20061225,20031231,20060615,20060425,20070801
20060417,20080324,20091006,20050406,20150607,20041126,20170907,20030421,20070406,20070622,20020501,20110519,20100528,20060616,20060102,20041228,20061225,20050126,20051226,20050103,20110207,20180212,20031225,20050325,20091106,20160907,20080206,20050325,20090907,20061226,20090413,19970923,20100101,20061226,20040101,20060815,20060605,20071225
20060525,20080425,20091007,20050413,20150613,20050121,20171012,20030516,20070409,20071206,20020520,20110830,20100817,20060809,20060110,20050103,20061226,20050314,20051227,20050104,20110321,20180213,20040101,20050328,20091113,20161012,20080207,20050502,20091012,20070101,20090501,19971010,20100215,20070101,20040106,20061026,20061023,20071226
20060605,20080602,20091008,20050414,20150614,20050126,20171102,20030529,20070501,20071224,20020701,20110831,20100909,20060925,20060130,20050325,20070101,20050325,20060102,20050105,20110421,20180330,20040119,20050505,20091120,20161102,20080208,20050523,20091102,20070126,20091225,19971103,20100216,20070406,20040409,20061101,20061225,20080101
20061225,20081027,20100101,20050415,20150620,20050309,20171115,20030605,20070517,20071225,20021001,20110901,20100910,20061225,20060131,20050328,20070406,20050328,20060103,20050106,20110422,20180501,20040216,20050516,20091126,20161115,20080409,20050809,20091120,20070406,20100101,19971124,20100217,20070521,20040412,20061208,20061226,20080102
20061226,20081225,20100215,20050502,20150621,20050325,20171130,20030609,20070528,20071226,20021014,20111107,20100913,20061226,20060201,20050502,20070409,20050425,20060414,20050107,20110916,20180531,20040531,20050517,20091127,20161230,20080501,20051101,20091225,20070409,20100402,19971223,20100218,20070702,20040520,20061225,20070101,20080321
20070101,20081226,20100216,20050505,20150627,20050401,20171225,20031224,20070607,20080101,20021225,20111108,20101117,20070101,20060202,20050530,20070501,20050613,20060522,20050110,20111102,20180907,20040705,20051226,20091130,20170120,20080505,20051103,20091231,20070425,20100405,19971231,20100219,20070806,20040531,20061226,20070102,20080324
20070406,20090101,20100217,20050523,20150628,20050414,20171229,20031225,20071003,20080321,20021226,20111109,20101207,20070321,20060411,20050829,20070517,20051101,20060623,20050223,20111121,20181012,20040906,20060413,20091201,20170227,20080512,20051226,20100101,20070611,20110422,19980101,20100405,20070903,20040625,20070101,20070122,20080501
20070409,20090102,20100218,20050701,20150703,20050418,20180101,20031226,20071224,20080324,20030101,20120423,20101224,20070406,20060501,20051226,20070528,20051226,20060703,20050307,20111212,20181102,20041011,20060414,20091202,20170228,20080606,20060102,20100125,20070806,20110425,19980102,20100616,20071008,20041224,20070409,20070206,20080512
20070430,20090126,20100219,20050722,20150704,20050422,20180212,20031231,20071225,20080501,20030131,20120501,20110203,20070409,20060512,20051227,20070815,20051227,20060904,20050308,20120206,20181115,20041111,20060417,20091203,20170414,20080815,20060110,20100215,20070907,20111226,19980115,20100922,20071112,20041231,20070501,20070406,20080801
20070517,20090206,20100405,20050812,20150705,20050523,20180213,20040101,20071226,20080620,20030203,20120820,20110215,20070427,20060831,20060102,20071101,20060102,20061009,20050502,20120319,20181225,20041125,20060501,20091204,20170421,20080915,20060130,20100216,20071001,20120406,19980211,20110202,20071225,20050106,20070517,20070409,20081225
20070528,20090410,20100503,20051024,20150711,20050701,20180330,20040408,20071231,20081224,20030418,20120821,20110422,20070501,20061023,20060414,20071225,20060126,20061113,20050509,20120405,20190101,20050117,20060517,20091211,20170501,20081003,20060131,20100402,20071225,20120409,19980429,20110203,20071226,20050325,20070528,20070425,20081226
20071225,20090413,20100614,20051205,20150712,20050727,20180501,20040409,20080101,20081225,20030421,20120830,20110517,20070809,20061024,20060417,20071226,20060313,20061225,20050510,20120406,20190304,20050221,20060525,20091218,20170615,20081225,20060414,20100421,20071226,20120501,19980504,20110204,20080101,20050328,20070607,20070604,20090101
20071226,20090601,20100615,20051212,20150718,20050728,20180531,20040412,20080321,20081226,20030501,20121025,20110602,20070924,20061025,20060501,20080101,20060414,20061226,20050613,20120501,20190305,20050530,20060605,20091225,20170907,20090101,20060501,20100603,20080101,20121225,19980505,20110207,20080218,20050505,20070815,20071022,20090102
20080101,20091026,20100616,20060102,20150719,20050815,20180907,20040507,20080324,20090101,20030508,20121026,20110629,20071217,20061225,20060529,20080321,20060417,20070101,20051104,20121102,20190419,20050704,20061225,20100101,20171012,20090126,20060512,20100709,20080128,20121226,19980720,20110228,20080321,20050606,20071026,20071225,20090410
20080321,20091225,20100922,20060213,20150725,20050822,20181012,20040520,20080501,20090106,20030604,20121029,20110817,20071225,20070101,20060828,20080324,20060425,20070102,20060102,20121119,20190501,20050905,20061226,20100108,20171102,20090127,20060809,20100907,20080321,20130101,19980915,20110404,20080519,20050624,20071101,20071226,20090413
20080324,20091228,20100923,20060406,20150726,20050907,20181102,20040531,20080512,20090410,20030701,20130101,20110829,20071226,20070102,20061225,20080501,20060612,20070406,20060103,20121212,20190620,20051010,20070101,20100115,20171115,20090501,20061024,20101012,20080324,20130329,19980923,20110405,20080701,20051226,20071224,20080101,20090501
20080430,20100101,20100924,20060413,20150801,20050930,20181115,20041224,20080522,20090413,20030912,20130423,20110830,20080101,20070201,20061226,20080512,20061107,20070521,20060104,20121225,20191115,20051111,20070405,20100122,20171120,20090505,20061225,20101102,20080425,20130401,19981103,20110502,20080804,20060106,20071225,20080102,20090521
20080501,20100104,20101001,20060414,20150802,20051012,20181130,20041231,20081003,20090501,20031001,20130501,20110831,20080321,20070219,20070101,20080623,20061225,20070625,20060105,20130101,20191225,20051124,20070406,20100129,20171225,20091002,20070101,20101115,20080609,20130501,19981123,20110606,20080901,20060414,20071226,20080121,20090601
20080512,20100201,20101004,20060419,20150808,20051101,20181225,20050324,20081224,20090521,20031225,20130808,20110901,20080324,20070220,20070406,20080815,20061226,20070702,20060106,20130204,20200101,20051226,20070409,20100205,20171229,20091225,20070102,20101231,20080804,20131225,19981223,20110912,20081013,20060417,20080101,20080206,20091225
20081225,20100402,20101005,20060501,20150809,20051103,20181231,20050325,20081225,20090619,20031226,20130809,20110902,20080428,20070426,20070409,20081225,20070101,20070903,20060109,20130318,20200224,20060102,20070501,20100212,20180101,20100101,20070219,20110125,20081006,20131226,19981231,20111010,20081111,20060501,20080324,20080321,20100101
20081226,20100405,20101006,20060505,20150815,20051104,20190101,20050328,20081226,20091224,20040101,20130830,20111226,20080501,20070501,20070507,20081226,20070126,20071008,20060223,20130328,20200225,20060116,20070517,20100219,20180212,20100215,20070220,20110307,20081225,20140101,19990101,20120123,20081225,20060525,20080501,20080324,20100402
20090101,20100607,20101007,20060512,20150816,20051115,20190304,20050422,20081231,20091225,20040122,20131015,20120123,20080502,20070502,20070528,20090101,20070312,20071112,20060224,20130329,20200410,20060220,20070528,20100226,20180213,20100301,20070406,20110308,20081226,20140418,19990115,20120124,20081226,20060606,20080512,20080425,20100405
20090410,20101025,20110103,20060612,20150822,20060111,20190305,20050505,20090101,20100101,20040123,20131016,20120323,20080616,20070831,20070827,20090410,20070406,20071225,20060308,20130501,20200421,20060529,20071224,20100305,20180330,20100505,20070501,20110421,20090101,20140421,19990211,20120125,20090101,20060623,20080522,20080602,20100513
20090413,20101227,20110202,20060613,20150823,20060126,20190419,20050516,20090410,20100106,20040405,20131017,20120406,20080924,20071015,20071225,20090413,20070409,20071226,20060501,20130916,20200501,20060704,20071225,20100312,20180423,20100521,20070531,20110422,20090126,20140501,19990322,20120126,20090216,20061225,20080815,20081027,20100524
20090430,20101228,20110203,20060711,20150829,20060209,20190501,20051226,20090413,20100402,20040409,20131018,20120517,20081216,20071108,20071226,20090501,20070425,20080101,20060508,20131118,20200611,20060904,20071226,20100319,20180501,20100602,20070809,20110623,20090410,20141225,19990429,20120127,20090410,20061226,20081208,20081225,20110422
20090521,20110103,20110204,20060814,20150830,20060315,20190620,20060413,20090501,20100405,20040412,20131029,20120518,20081225,20071220,20080101,20090521,20070611,20080102,20060509,20131212,20200907,20061009,20080101,20100326,20180531,20100921,20071108,20110907,20090413,20141226,19990503,20120227,20090518,20070101,20081224,20081226,20110425
20090601,20110104,20110207,20060920,20150905,20060330,20191115,20060414,20090521,20100513,20040526,20140101,20120817,20081226,20071225,20080321,20090601,20071106,20080321,20060612,20131225,20201012,20061123,20080320,20100402,20180907,20100922,20071220,20111012,20090608,20150101,19990504,20120228,20090701,20070406,20081225,20090101,20110602
20091225,20110131,20110208,20061023,20150906,20060406,20191225,20060417,20090601,20100625,20040622,20140423,20120820,20090101,20080101,20080324,20090623,20071225,20080519,20061106,20140101,20201102,20061225,20080321,20100409,20181012,20100923,20071225,20111102,20090803,20150403,19990505,20120404,20090803,20070409,20081226,20090102,20110613
20100101,20110422,20110404,20061205,20150907,20060411,20191231,20060512,20090611,20101206,20040701,20140501,20120821,20090410,20080110,20080505,20091225,20071226,20080624,20070101,20140203,20201225,20070101,20080324,20100416,20181102,20110202,20080101,20111115,20091005,20150406,19990720,20120501,20090907,20070501,20090101,20090119,20110801
20100402,20110425,20110405,20061211,20150912,20060414,20200101,20060525,20091224,20101224,20040929,20140519,20120822,20090413,20080123,20080526,20100101,20080101,20080701,20070102,20140317,20210101,20070115,20080501,20100423,20181115,20110203,20080207,20111230,20091225,20150501,19990915,20120802,20091012,20070517,20090106,20090206,20111226
20100405,20110606,20110502,20070101,20150913,20060501,20200224,20060605,20091225,20110106,20041001,20140728,20121026,20090422,20080201,20080825,20100402,20080128,20080901,20070103,20140417,20210215,20070219,20080512,20100430,20181120,20110204,20080208,20120125,20091228,20151225,19990923,20121010,20091111,20070606,20090413,20090410,20120102
20100430,20111024,20110606,20070102,20150919,20060815,20200225,20061225,20091231,20110422,20041022,20140729,20121115,20090427,20080207,20081225,20100405,20080310,20081013,20070104,20140418,20210216,20070528,20081224,20100507,20181225,20110301,20080321,20120220,20100101,20160101,19991011,20121231,20091225,20070622,20090501,20090413,20120406
20100505,20111226,20110912,20070305,20150920,20061002,20200410,20061226,20100101,20110425,20041227,20140730,20121116,20090501,20080208,20081226,20100513,20080321,20081111,20070105,20140501,20210402,20070704,20081225,20100514,20181231,20110505,20080501,20120221,20100126,20160325,19991103,20130101,20091228,20071224,20090521,20090601,20120409
20100513,20111227,20111003,20070406,20150926,20061023,20200421,20070101,20100402,20110602,20050209,20141006,20121224,20090616,20080320,20090101,20100524,20080324,20081225,20070108,20140916,20210421,20070903,20081226,20100521,20190101,20110510,20080519,20120406,20100402,20160328,19991123,20130211,20100101,20071225,20090601,20091026,20120501
20100524,20120102,20111004,20070413,20150927,20061024,20200501,20070405,20100405,20110624,20050210,20141007,20121225,20090810,20080501,20090410,20100623,20080425,20081226,20070223,20141117,20210603,20071008,20090101,20100528,20190304,20110606,20081001,20120501,20100405,20161226,19991223,20130212,20100215,20071226,20090611,20091225,20120517
20110422,20120103,20111005,20070416,20151003,20061025,20200611,20070406,20100513,20111206,20050211,20141029,20121231,20090924,20080519,20090413,20101101,20080609,20090101,20070308,20141212,20210907,20071112,20090409,20100604,20190305,20110815,20081027,20120607,20100426,20170414,19991231,20130213,20100402,20071231,20091026,20091228,20120528
20110425,20120130,20111006,20070501,20151004,20061225,20200907,20070409,20100524,20111226,20050325,20150101,20130101,20091216,20080901,20090504,20110422,20081104,20090102,20070430,20141225,20211012,20071122,20090410,20100611,20190419,20110912,20081208,20120709,20100614,20170417,20000103,20130214,20100524,20080101,20091208,20100101,20120801
20110602,20120206,20111007,20070507,20151010,20070101,20201012,20070504,20100603,20120106,20050328,20150423,20130124,20091225,20081001,20090525,20110425,20081225,20090410,20070501,20150101,20211102,20071225,20090413,20100618,20190423,20110913,20081225,20120907,20100802,20170501,20000110,20130215,20100701,20080321,20091224,20100104,20121225
20110613,20120406,20120102,20070531,20151011,20070126,20201102,20070517,20101224,20120406,20050405,20150501,20130312,20100101,20081002,20090831,20110602,20081226,20090518,20070509,20150202,20211115,20080101,20090501,20100625,20190501,20111003,20090101,20121012,20101004,20171225,20000211,20130228,20100802,20080324,20091225,20100125,20121226
20111226,20120409,20120103,20070730,20151012,20070130,20201130,20070528,20101231,20120409,20050502,20150519,20130329,20100322,20081027,20091225,20110613,20090101,20090624,20070611,20150316,20220228,20080121,20090521,20100702,20190620,20120123,20090126,20121102,20101227,20171226,20000320,20130404,20100906,20080501,20100101,20100402,20130101
20120406,20120425,20120123,20070813,20151017,20070216,20201225,20070605,20110422,20120501,20050516,20150717,20130509,20100402,20081208,20091228,20110623,20090126,20090701,20070612,20150402,20220301,20080218,20090601,20100709,20191115,20120124,20090127,20121115,20101228,20180101,20000503,20130405,20101011,20080606,20100106,20100405,20130102
20120409,20120604,20120124,20071023,20151018,20070319,20201231,20071224,20110425,20120517,20050701,20150924,20130606,20100405,20081225,20100101,20110815,20090309,20090907,20071105,20150403,20220415,20080526,20091224,20100716,20191120,20120301,20090410,20121120,20110103,20180330,20000504,20130501,20101111,20080620,20100405,20100607,20130329
