AdB,AeB,AmB,AnB,AtB,AuB,BAB,BMA,BRV,BbB,BcB,BdB,BeB,BfB,BkB,BkS,BmB,BmS,BoB,BrB,BtB,BxB,CBT,CMF,CMM,Ced,ChS,CnB,CoB,DEL,DbB,DoB,DrB,DuB,Ecl,FrB,FrS,GTB,GeB,HKB,HKS,HaB,HaS,HeB,HmB,HoB,IsB,IvB,JaB,JaS,JoB,KLB,KLS,KdQ,LIF,LaB,LbB,LmB,LnB,LsB,LxB,MCV,MdB,MeB,MiB,MnB,MnS,MoB,MwB,MxB,NBR,NSS,NYB,NYM,NYO,NYS,Ndq,OSA,OsB,PCB,PaB,PeB,PfS,PrB,RJB,RTB,RiB,RkB,RmB,SOF,SOM,SON,SPB,SaB,SeB,SeS,ShB,SiB,SiS,SoB,StB,SxB,SyB,SyF,SyS,SzB,TYO,Tgt,TkB,TpB,TpS,TrB,ViB,WaB,WeB,WeS,XBR,ZaB,ZuB
20161003,20081203,20040101,20131017,20030428,20050606,20021225,20160905,20210101,20140813,20031226,20070315,20071004,20181019,20030101,20151210,20021104,20160324,20061225,20030529,20060829,20141225,20160905,20161124,20211224,20160101,20161124,20160425,20030529,20150703,20131014,20190811,20160613,20030602,20160101,20030529,20201225,20160516,20060414,20030203,20150220,20160210,20160210,20030620,20060904,20160328,20071220,20200521,20080320,20151231,20030501,20030101,20160125,20160210,20170102,20140114,20070501,20071101,20031226,20030501,20060417,20201225,20030501,20051101,20031225,20030225,20151130,20050701,20030102,20071102,20150101,20170126,20031013,20161124,20191128,20151126,20151126,20151231,20030529,20190501,20030508,20160606,20211125,20070101,20140421,20160314,20100909,20090413,20161208,20171226,20170501,20171226,20070219,20070716,20050405,20160210,20150101,20030501,20160325,20070906,20030529,20140421,20030804,20170126,20210126,20161227,20270322,20050328,20030102,20070223,20151009,20031013,20030609,20070409,20030421,20160606,20160421,20071008,20030609
20161226,20081207,20040409,20131018,20030501,20051024,20021231,20161010,20210118,20141006,20040101,20070316,20071005,20181024,20030217,20151231,20021119,20160325,20061229,20030530,20060901,20141231,20161010,20161226,20220117,20171225,20161226,20160613,20030605,20150907,20131015,20190812,20160722,20030804,20171225,20030609,20201231,20160613,20060417,20030418,20150403,20160211,20160211,20031224,20060911,20160329,20071221,20200601,20080321,20160101,20030616,20030201,20160201,20160301,20170414,20140131,20070502,20071225,20040101,20030610,20060501,20210101,20030502,20051226,20031226,20030407,20151224,20050905,20030103,20071119,20150216,20170414,20031111,20161226,20191225,20151225,20151225,20160101,20030609,20190701,20030529,20160926,20211224,20070409,20140423,20160325,20100911,20090423,20161226,20180101,20170605,20180101,20070220,20070815,20050505,20160301,20150102,20030515,20160502,20070907,20030609,20140501,20031006,20170414,20210402,20170102,20270920,20051226,20030103,20070228,20160101,20031111,20030619,20070501,20030425,20161024,20160526,20071101,20030801
20161227,20081208,20040412,20131029,20030616,20051226,20030101,20161111,20210215,20141114,20040102,20070409,20071231,20181101,20030407,20160101,20021207,20160414,20070101,20030609,20060915,20150101,20161111,20170102,20220221,20180101,20170102,20160801,20030609,20151111,20131016,20190813,20160801,20031027,20180101,20030619,20210101,20160704,20060501,20030421,20150406,20160212,20160212,20031225,20061113,20160425,20080101,20200731,20080501,20160208,20030924,20030203,20160208,20160413,20170417,20140203,20070625,20080101,20040409,20030613,20060525,20210118,20030515,20051227,20040101,20030417,20151225,20051010,20030106,20071212,20150217,20170417,20031127,20170102,20200101,20160101,20160101,20160111,20031224,20191104,20030609,20161226,20220117,20070501,20140501,20160328,20100912,20090501,20170106,20180330,20171003,20180330,20070406,20070917,20050606,20160413,20150218,20030809,20160706,20071224,20030620,20140529,20031225,20170417,20210405,20170414,20280320,20060414,20030113,20070405,20160204,20031225,20030815,20070503,20030602,20161226,20160907,20071225,20031225
20170102,20081209,20040430,20140101,20030815,20051227,20030331,20161124,20210216,20141225,20040412,20070430,20080101,20181106,20030414,20160222,20021225,20160415,20070108,20030721,20061101,20150216,20161124,20170116,20220415,20181225,20170116,20160926,20031224,20151126,20131017,20191218,20161226,20031225,20181225,20031003,20210402,20161114,20060525,20030501,20150407,20160418,20160418,20031226,20061225,20160613,20080423,20200807,20080520,20160309,20031216,20030204,20160209,20160505,20170501,20140501,20070815,20080320,20040412,20030619,20060605,20210201,20030815,20060102,20040106,20030418,20151230,20051111,20030107,20071225,20150403,20170425,20031225,20170116,20200120,20160118,20160118,20160211,20031225,20191105,20030714,20161227,20220221,20070508,20140619,20160421,20100913,20090521,20170417,20180402,20171225,20180402,20070501,20070918,20050815,20160505,20150219,20031024,20160809,20071225,20031224,20140609,20031226,20170425,20210614,20170417,20290320,20060417,20030211,20070406,20160205,20031226,20031208,20070607,20031027,20161227,20161012,20071226,20031226
20170126,20081210,20040520,20140423,20031028,20060102,20030417,20161226,20210402,20141226,20041201,20070501,20080206,20181108,20030415,20160406,20030213,20160419,20070319,20030815,20061117,20150217,20161226,20170220,20220530,20190101,20170220,20161003,20031225,20151127,20131102,20191219,20161227,20031226,20190101,20031224,20210405,20161226,20060605,20030508,20150501,20160502,20160502,20040101,20061226,20161020,20080519,20201029,20080730,20160325,20031225,20030212,20160502,20160606,20170529,20140513,20071031,20080321,20040503,20030815,20060623,20210215,20030909,20060126,20040412,20030501,20151231,20051226,20030224,20080101,20150421,20170612,20040101,20170220,20200217,20160215,20160215,20160321,20031226,20191111,20030815,20170102,20220415,20070705,20140625,20160516,20100922,20090601,20170425,20180501,20171226,20180501,20070607,20070919,20050919,20160606,20150220,20031125,20160912,20071226,20031225,20140619,20040101,20170612,20211227,20170501,20300320,20060501,20030321,20070501,20160208,20040101,20031224,20070815,20031225,20170102,20161102,20080101,20040101
20170313,20081228,20040531,20140501,20031225,20060103,20030418,20170102,20210421,20150101,20050502,20070528,20080207,20181121,20030501,20160413,20030301,20160706,20070405,20031111,20061225,20150403,20170102,20170414,20220704,20191225,20170414,20161226,20031226,20151225,20131130,20200101,20170102,20031229,20191225,20031225,20210524,20161227,20060801,20030604,20150525,20160503,20160503,20040106,20070101,20161226,20080930,20201225,20080818,20160505,20031226,20030304,20160622,20160815,20170828,20140530,20071101,20080501,20040531,20031201,20060815,20210315,20031208,20060313,20040602,20030502,20160101,20051227,20030310,20080204,20150501,20171225,20040119,20170414,20200410,20160325,20160325,20160429,20040101,20191128,20031111,20170126,20220530,20070706,20140704,20160701,20101113,20090617,20170501,20181224,20180101,20181224,20070709,20071015,20051003,20160815,20150223,20031225,20161226,20071231,20031226,20141003,20040126,20171225,20211228,20170509,20320920,20061225,20030429,20070618,20160209,20040409,20031225,20071101,20031226,20170103,20161115,20080324,20040102
20170414,20090101,20050325,20140519,20031226,20060130,20030501,20170116,20210531,20150126,20050630,20070820,20080208,20181126,20030505,20160414,20030314,20160815,20070406,20031225,20061226,20150421,20170116,20170529,20220905,20200101,20170529,20161227,20031231,20160101,20131201,20200211,20170126,20040101,20200101,20031226,20211224,20170102,20060907,20030701,20150701,20160902,20160902,20040409,20070406,20161227,20081001,20210101,20080930,20160506,20040101,20030501,20160706,20160914,20171225,20140715,20071225,20080515,20040830,20031208,20061101,20210401,20031225,20060414,20041101,20030613,20160208,20060102,20030501,20080317,20150604,20171226,20040216,20170529,20200525,20160530,20160530,20160503,20040408,20191209,20031225,20170306,20220704,20070928,20141120,20160801,20101114,20090803,20170602,20181225,20180330,20181225,20070907,20071101,20060130,20160914,20150224,20040101,20170102,20080101,20031231,20141224,20040409,20171226,20220103,20170529,20320921,20061226,20030505,20070619,20160210,20040524,20031226,20071225,20040101,20170206,20161230,20080501,20040409
20170417,20090308,20050328,20140728,20040101,20060206,20030616,20170220,20210603,20150403,20050701,20071022,20080211,20181225,20030515,20160415,20030318,20160905,20070501,20031226,20070101,20150501,20170220,20170704,20221124,20201225,20170704,20170102,20040101,20160118,20140101,20200301,20170414,20040317,20201225,20031231,20211231,20170123,20061225,20030912,20150903,20170102,20170102,20040412,20070524,20170102,20081002,20210405,20081001,20160704,20040322,20030514,20160707,20160915,20171226,20140728,20071226,20080516,20041227,20031224,20061225,20210402,20040101,20060417,20041208,20031031,20160225,20060103,20030502,20080320,20150907,20180101,20040531,20170704,20200703,20160704,20160704,20160504,20040409,20191225,20031226,20170414,20220905,20071224,20141225,20160802,20101115,20091224,20170629,20181226,20180402,20181226,20071012,20071225,20060301,20160915,20150406,20040122,20170130,20080303,20040101,20141225,20040412,20180101,20220126,20170828,20320922,20070101,20030721,20070918,20160211,20040701,20040101,20071226,20040102,20170414,20170227,20080522,20040412
20170425,20090719,20050505,20140729,20040106,20060414,20030709,20170414,20210705,20150406,20051201,20071023,20080212,20190115,20030701,20160502,20030401,20160913,20070521,20040101,20070406,20150604,20170414,20170904,20221226,20210101,20170904,20170126,20040408,20160325,20140111,20200524,20170417,20040409,20210101,20040101,20220415,20170301,20061226,20031001,20150928,20170126,20170126,20040520,20070605,20170126,20081029,20210513,20081002,20160705,20040409,20030515,20160831,20160916,20180101,20140729,20080101,20080728,20041228,20031225,20061226,20210531,20040106,20060425,20050106,20031126,20160324,20060414,20030509,20080321,20151012,20180126,20040705,20170904,20200907,20160905,20160905,20160505,20040412,20200101,20040101,20170417,20221124,20071225,20141231,20160803,20101116,20091225,20170815,20181231,20180501,20181231,20071102,20071231,20060501,20160916,20150501,20040123,20170414,20080428,20040106,20141226,20040426,20180126,20220415,20171225,20330321,20070406,20030915,20070924,20160212,20040802,20040106,20080101,20040119,20170417,20170228,20080625,20040520
20170612,20090920,20050516,20140730,20040223,20060417,20030818,20170529,20210906,20150608,20051226,20071101,20080404,20190122,20030714,20160505,20030402,20161011,20070611,20040409,20070409,20150907,20170529,20171123,20230102,20231225,20171123,20170313,20040409,20160530,20140525,20200525,20170425,20040412,20231225,20040409,20220418,20170414,20070101,20031225,20151001,20170127,20170127,20040625,20070611,20170213,20081208,20210524,20081003,20160706,20040412,20030607,20160912,20161003,20180330,20140901,20080102,20080729,20050103,20040101,20070101,20210705,20040319,20060612,20050328,20031224,20160325,20060522,20030612,20080501,20151102,20180330,20040906,20171123,20201126,20161124,20161124,20160718,20040517,20200109,20040409,20170425,20221226,20071226,20150101,20161021,20101117,20100101,20171101,20190101,20180521,20190101,20071115,20080101,20060505,20161003,20150622,20040202,20170501,20080501,20040409,20141231,20040614,20180330,20220418,20171226,20340320,20070409,20030923,20070925,20160229,20040906,20040412,20080324,20040206,20170425,20170414,20080805,20040531
20171002,20090921,20051226,20141006,20040325,20060425,20031106,20170704,20210907,20150812,20060102,20071102,20080501,20190304,20030812,20160506,20030411,20161012,20070618,20040412,20070501,20151012,20170704,20171225,20230116,20240101,20171225,20170414,20040412,20160704,20140728,20200526,20170501,20040503,20240101,20040412,20220606,20170417,20070102,20031226,20151021,20170130,20170130,20041206,20070802,20170313,20081209,20210720,20081208,20160707,20040414,20030901,20160916,20161230,20180402,20140916,20080208,20081008,20050325,20040224,20070406,20210906,20040408,20061107,20050425,20031225,20160509,20060623,20030613,20080916,20151225,20180402,20041011,20171225,20201225,20161226,20161226,20160811,20040520,20200224,20040412,20170605,20230102,20080101,20150120,20161226,20101118,20100401,20171208,20190419,20181224,20190419,20071120,20080321,20060531,20161230,20150903,20040409,20170510,20080502,20040412,20150101,20040802,20180402,20220425,20180101,20360320,20070501,20031013,20071010,20160404,20041011,20040520,20080501,20040409,20170605,20170421,20080815,20050325
