AdB,AeB,AmB,AnB,AtB,AuB,BAB,BbB,BcB,BdB,BeB,BfB,BkB,BkS,BMA,BmB,BmS,BoB,BrB,BtB,BxB,CBT,Ced,ChS,CMF,CnB,CoB,DbB,DEL,DoB,DrB,DuB,Ecl,FrB,GeB,GTB,HaB,HaS,HeB,HKB,HKS,HmB,HoB,IsB,JaB,JaS,JoB,KdQ,KLB,KLS,LaB,LbB,LIF,LmB,LnB,LsB,LxB,MdB,MeB,MiB,MnB,MnS,MoB,MwB,MxB,NBR,Ndq,NSS,NYB,NYM,NYO,NYS,OSA,OsB,PaB,PCB,PeB,PrB,RiB,RJB,RkB,RmB,RTB,SaB,SeB,SeS,ShB,SiB,SiS,SoB,SOF,SOM,SON,SPB,StB,SxB,SyB,SyF,SzB,Tgt,TkB,TpB,TpS,TrB,TYO,ViB,WaB,WeB,WeS,XBR,ZaB,ZuB
20160126,20080320,20030421,20130501,20021226,20050103,20020501,20140101,20030102,20060605,20070503,20180822,20020812,20150601,20160101,20020629,20151022,20060807,20021225,20060106,20140303,20160101,20130101,20160118,20160118,20151228,20021226,20121202,20141225,20190212,20160101,20021227,20130101,20021226,20050505,20151228,20150430,20150430,20030101,20021001,20141001,20060102,20151228,20070102,20071225,20150817,20021226,20151009,20020601,20150924,20130809,20061226,20160328,20070405,20030418,20021224,20050516,20021206,20050126,20030421,20021206,20150717,20041228,20020612,20070101,20140304,20150119,20160328,20030101,20160118,20190121,20150119,20150922,20021226,20021225,20190101,20160101,20060705,20091130,20131231,20081224,20160328,20150827,20061225,20040928,20151009,20140908,20021225,20150924,20070102,20160328,20160328,20160328,20061115,20021231,20131225,20030101,20160328,20160328,20031225,20020923,20061010,20150406,20030101,20240320,20021226,20060615,20021226,20160101,20151225,20070409,20030101
20160314,20080731,20030430,20130808,20030101,20050104,20020617,20140127,20030103,20061023,20070504,20180913,20021023,20150701,20160118,20020815,20151112,20060821,20021226,20060414,20140304,20160118,20131225,20160215,20160215,20160101,20030101,20130101,20141226,20190303,20160126,20030101,20131225,20021231,20050516,20160101,20150501,20150501,20030106,20021014,20141002,20060414,20160101,20070103,20071231,20150924,20030101,20151225,20020831,20151014,20130916,20070101,20160502,20070406,20030421,20021225,20050623,20021225,20050314,20030425,20021224,20150821,20050103,20021107,20070205,20140418,20150216,20160425,20030120,20160215,20190218,20150216,20150923,20030101,20021226,20190109,20160126,20060706,20091201,20140101,20081225,20160425,20151019,20070101,20040929,20151225,20141001,20030101,20151110,20070409,20161226,20160516,20161226,20061120,20030101,20131226,20030127,20160425,20160502,20031226,20021014,20070101,20150501,20030418,20250320,20030101,20060815,20030101,20160104,20151231,20070501,20030102
20160325,20080930,20030529,20130809,20030106,20050131,20020709,20140418,20030428,20061101,20070507,20180921,20021205,20150730,20160215,20020910,20151125,20061016,20030101,20060417,20140418,20160215,20140101,20160325,20160325,20160126,20030417,20130124,20150101,20190604,20160325,20030317,20140101,20030101,20050801,20160125,20150902,20150902,20030418,20021225,20141225,20060524,20160126,20070423,20080101,20151014,20030321,20151231,20021104,20151110,20131015,20070102,20160530,20070501,20030505,20030101,20050815,20030101,20050325,20030501,20021225,20150831,20050104,20021108,20070319,20140421,20150403,20160613,20030217,20160325,20190419,20150403,20151012,20030417,20030101,20190304,20160307,20060928,20091202,20140120,20081226,20160602,20151225,20070406,20050208,20151231,20141002,20030201,20151225,20070430,20170414,20161003,20170414,20061225,20030106,20131231,20030418,20160613,20160509,20040101,20021104,20070219,20150619,20030519,20260320,20030106,20061101,20030102,20160208,20160101,20070607,20030418
20160328,20081001,20030609,20130830,20030310,20050325,20020819,20140421,20030501,20061225,20071001,20181002,20021210,20150812,20160325,20020930,20151225,20061106,20030418,20060501,20140421,20160325,20141225,20160530,20160530,20160314,20030418,20130606,20150119,20190605,20160328,20030418,20141225,20030418,20050908,20160210,20160101,20160101,20030421,20021226,20141226,20060612,20160208,20070830,20080110,20151209,20030418,20160101,20021206,20151224,20131105,20070208,20160829,20070629,20030526,20030304,20051101,20030106,20050328,20030602,20021230,20150925,20050325,20021212,20070405,20140501,20150525,20161226,20030526,20160530,20190527,20150525,20151103,20030418,20030418,20190305,20160325,20061117,20091203,20140303,20090101,20160629,20151228,20070501,20050209,20160101,20141003,20030203,20160101,20070501,20170417,20161226,20170417,20061229,20030418,20140101,20030421,20161226,20160530,20040409,20021223,20070220,20150710,20030701,20260921,20030421,20061225,20030120,20160325,20160208,20070622,20030421
20160425,20081002,20031225,20131015,20030325,20050328,20021014,20140425,20031201,20061226,20071002,20181008,20021230,20151023,20160530,20021002,20160126,20061113,20030421,20060508,20140501,20160530,20150101,20160704,20160704,20160325,20030421,20130808,20150403,20190606,20160425,20030421,20150101,20030421,20051226,20160325,20160208,20160208,20030501,20030101,20150101,20060803,20160314,20071012,20080207,20151224,20030421,20160208,20021207,20151225,20131225,20070409,20161226,20070830,20030825,20030418,20051226,20030417,20050425,20030815,20021231,20151118,20050523,20021213,20070406,20140619,20150703,20161227,20030704,20160704,20190704,20150703,20151123,20030421,20030421,20190306,20160328,20061225,20100907,20140304,20090409,20160815,20160101,20070521,20050210,20160208,20141006,20030212,20160208,20070524,20170501,20170414,20170501,20070101,20030421,20140106,20030425,20161227,20160829,20040412,20021231,20070221,20150928,20030804,20260922,20030501,20061226,20030206,20160328,20160209,20070625,20030501
20160613,20081202,20031226,20131016,20030425,20050425,20021106,20140609,20031225,20070101,20071003,20181018,20021231,20151207,20160704,20021015,20160307,20061208,20030501,20060705,20140619,20160704,20151225,20160905,20160905,20160328,20030516,20130810,20150525,20190811,20160502,20030505,20151225,20030501,20060102,20160328,20160209,20160209,20030529,20030131,20150219,20060804,20160325,20071029,20080307,20151225,20030428,20160209,20021225,20160101,20140101,20070427,20161227,20071008,20031225,20030425,20060414,20030418,20050613,20031208,20030101,20151119,20050624,20030101,20070501,20141225,20150907,20170102,20030901,20160905,20190902,20150907,20151223,20030501,20030501,20190419,20160425,20061226,20100908,20140418,20090410,20161101,20160307,20070702,20050301,20160209,20141007,20030418,20160209,20070525,20171225,20170417,20171225,20070125,20030501,20140418,20030609,20170102,20161226,20050325,20030101,20070222,20150929,20030901,20260923,20030529,20070101,20030418,20160425,20160325,20070815,20030529
20161003,20081203,20040101,20131017,20030428,20050606,20021225,20140813,20031226,20070315,20071004,20181019,20030101,20151210,20160905,20021104,20160324,20061225,20030529,20060829,20141225,20160905,20160101,20161124,20161124,20160425,20030529,20131014,20150703,20190812,20160613,20030602,20160101,20030529,20060414,20160516,20160210,20160210,20030620,20030203,20150220,20060904,20160328,20071220,20080320,20151231,20030501,20160210,20030101,20160125,20140114,20070501,20170102,20071101,20031226,20030501,20060417,20030501,20051101,20031225,20030225,20151130,20050701,20030102,20071102,20150101,20151126,20170126,20031013,20161124,20191128,20151126,20151231,20030529,20030508,20190501,20160606,20070101,20100909,20140421,20090413,20161208,20160314,20070716,20050405,20160210,20150101,20030501,20160325,20070906,20171226,20170501,20171226,20070219,20030529,20140421,20030804,20170126,20161227,20050328,20030102,20070223,20151009,20031013,20270322,20030609,20070409,20030421,20160606,20160421,20071008,20030609
20161226,20081207,20040409,20131018,20030501,20051024,20021231,20141006,20040101,20070316,20071005,20181024,20030217,20151231,20161010,20021119,20160325,20061229,20030530,20060901,20141231,20161010,20171225,20161226,20161226,20160613,20030605,20131015,20150907,20190813,20160722,20030804,20171225,20030609,20060417,20160613,20160211,20160211,20031224,20030418,20150403,20060911,20160329,20071221,20080321,20160101,20030616,20160301,20030201,20160201,20140131,20070502,20170414,20071225,20040101,20030610,20060501,20030502,20051226,20031226,20030407,20151224,20050905,20030103,20071119,20150216,20151225,20170414,20031111,20161226,20191225,20151225,20160101,20030609,20030529,20190701,20160926,20070409,20100911,20140423,20090423,20161226,20160325,20070815,20050505,20160301,20150102,20030515,20160502,20070907,20180101,20170605,20180101,20070220,20030609,20140501,20031006,20170414,20170102,20051226,20030103,20070228,20160101,20031111,20270920,20030619,20070501,20030425,20161024,20160526,20071101,20030801
20161227,20081208,20040412,20131029,20030616,20051226,20030101,20141114,20040102,20070409,20071231,20181101,20030407,20160101,20161111,20021207,20160414,20070101,20030609,20060915,20150101,20161111,20180101,20170102,20170102,20160801,20030609,20131016,20151111,20191218,20160801,20031027,20180101,20030619,20060501,20160704,20160212,20160212,20031225,20030421,20150406,20061113,20160425,20080101,20080501,20160208,20030924,20160413,20030203,20160208,20140203,20070625,20170417,20080101,20040409,20030613,20060525,20030515,20051227,20040101,20030417,20151225,20051010,20030106,20071212,20150217,20160101,20170417,20031127,20170102,20200101,20160101,20160111,20031224,20030609,20191104,20161226,20070501,20100912,20140501,20090501,20170106,20160328,20070917,20050606,20160413,20150218,20030809,20160706,20071224,20180330,20171003,20180330,20070406,20030620,20140529,20031225,20170417,20170414,20060414,20030113,20070405,20160204,20031225,20280320,20030815,20070503,20030602,20161226,20160907,20071225,20031225
20170102,20081209,20040430,20140101,20030815,20051227,20030331,20141225,20040412,20070430,20080101,20181106,20030414,20160222,20161124,20021225,20160415,20070108,20030721,20061101,20150216,20161124,20181225,20170116,20170116,20160926,20031224,20131017,20151126,20200211,20161226,20031225,20181225,20031003,20060525,20161114,20160418,20160418,20031226,20030501,20150407,20061225,20160613,20080423,20080520,20160309,20031216,20160505,20030204,20160209,20140501,20070815,20170501,20080320,20040412,20030619,20060605,20030815,20060102,20040106,20030418,20151230,20051111,20030107,20071225,20150403,20160118,20170425,20031225,20170116,20200120,20160118,20160211,20031225,20030714,20191105,20161227,20070508,20100913,20140619,20090521,20170417,20160421,20070918,20050815,20160505,20150219,20031024,20160809,20071225,20180402,20171225,20180402,20070501,20031224,20140609,20031226,20170425,20170417,20060417,20030211,20070406,20160205,20031226,20290320,20031208,20070607,20031027,20161227,20161012,20071226,20031226
